gene_id,COOY,CYOO,CYOY,XLOOO,XLOOY,XLOOY2,XLOOY3,XLYOY
ENSMUSG00000098104|Gm6085,241,187,164,227,238,202,249,281
ENSMUSG00000025902|Sox17,118,179,133,136,166,253,100,262
ENSMUSG00000104238|Gm37587,3,6,0,12,0,4,0,2
ENSMUSG00000103845|Gm19026,7,0,6,4,13,7,4,7
ENSMUSG00000102135|Gm37108,3,7,0,3,0,0,0,5
ENSMUSG00000025907|Rb1cc1,539,1975,1135,1450,1541,1249,764,2224
ENSMUSG00000090031|4732440D04Rik,27,89,18,33,55,54,32,81
ENSMUSG00000097797|Gm26901,10,3,15,10,0,10,0,0
ENSMUSG00000002459|Rgs20,0,0,0,0,8,0,0,3
ENSMUSG00000091305|Gm17100,0,0,0,0,0,0,0,0
ENSMUSG00000102653|Gm37079,0,0,0,0,0,0,0,0
ENSMUSG00000085623|Gm16041,0,0,0,0,0,0,0,0
ENSMUSG00000091665|Gm17101,0,0,0,0,0,0,0,0
ENSMUSG00000033793|Atp6v1h,2837,3374,2556,4175,3009,4202,3853,4692
ENSMUSG00000103265|Gm2053,0,0,0,0,0,0,0,0
ENSMUSG00000033845|Mrpl15,3879,4363,3398,2515,2701,2537,1789,2345
ENSMUSG00000025903|Lypla1,4535,10745,6367,6369,4355,7272,4305,5278
ENSMUSG00000103922|Gm6123,736,709,726,612,480,367,435,428
ENSMUSG00000102275|Gm37144,11,15,8,15,11,22,10,10
ENSMUSG00000104217|Gm37988,16,10,7,5,5,2,0,2
ENSMUSG00000033813|Tcea1,1529,3754,2214,3296,2888,3488,2390,4026
ENSMUSG00000062588|Gm6104,31,36,32,47,21,33,48,9
ENSMUSG00000051285|Pcmtd1,975,6588,3431,3237,2829,3629,1479,3612
ENSMUSG00000098201|Gm26983,0,0,0,0,0,3,0,0
ENSMUSG00000103509|Gm38372,0,59,66,34,33,64,13,72
ENSMUSG00000048538|Gm9826,515,1355,1054,951,800,660,939,1185
ENSMUSG00000102272|Gm7512,38,18,17,16,9,4,6,12
ENSMUSG00000061024|Rrs1,1460,1833,1229,2988,2138,1829,2443,3695
ENSMUSG00000025909|Sntg1,91,198,96,88,70,136,108,23
ENSMUSG00000102647|Gm38024,0,0,0,0,0,0,0,0
ENSMUSG00000086235|Gm16284,0,0,0,0,0,0,0,0
ENSMUSG00000102253|Gm38259,0,3,0,0,0,0,0,0
ENSMUSG00000103884|Gm37005,0,0,0,0,0,0,0,0
ENSMUSG00000103933|Gm36964,0,0,2,1,2,2,0,3
ENSMUSG00000086195|Gm6152,0,0,0,0,0,0,0,0
ENSMUSG00000104504|Gm7445,0,1,0,0,0,2,0,0
ENSMUSG00000066693|Gm7493,0,0,3,0,0,0,0,3
ENSMUSG00000102316|Gm37629,0,0,0,0,0,0,0,0
ENSMUSG00000103819|Gm38008,0,0,0,0,0,0,0,0
ENSMUSG00000102871|Gm37143,0,0,0,0,0,0,0,0
ENSMUSG00000084353|Gm15452,90,49,56,108,43,63,62,37
ENSMUSG00000025912|Mybl1,4,41,9,47,32,85,31,188
ENSMUSG00000097893|1700034P13Rik,56,44,53,20,13,63,13,25
ENSMUSG00000045210|Vcpip1,1291,2660,1789,2300,2184,1999,1343,2541
ENSMUSG00000046101|Mcmdc2,163,284,66,29,75,18,11,5
ENSMUSG00000098234|Snhg6,439,620,377,1234,739,947,739,1406
ENSMUSG00000093178|Snord87,3,6,4,2,5,3,3,0
ENSMUSG00000025915|Sgk3,385,1077,829,1339,1326,1495,1337,1650
ENSMUSG00000046334|Gm6195,0,17,14,14,14,23,0,6
ENSMUSG00000079671|2610203C22Rik,17,41,28,39,18,43,60,43
ENSMUSG00000099827|Gm29520,0,0,0,0,0,4,0,0
ENSMUSG00000025911|Adhfe1,8788,7899,7146,6441,5036,4310,6105,6293
ENSMUSG00000081441|Gm6161,399,679,611,672,517,833,472,587
ENSMUSG00000067879|Vxn,4,9,4,0,17,19,3,13
ENSMUSG00000042414|Prdm14,0,0,0,0,11,0,0,0
