,logFC,logCPM,LR,PValue,DE,FDR
4:60140650|60222035,-9.57487492558002,-0.572423057402246,14.2504349996227,0.000160023817713181,0,0.0715306465177918
7:46390062|46390792,7.14166308952639,-2.46682917171192,9.85245293327507,0.00169605459674035,0,0.279661865342247
12:104183128|104214231,6.83488524864338,1.44785339801384,9.13908214675284,0.00250206588013255,0,0.279661865342247
5:90623137|90624419,7.95606789539897,-2.2070387890403,9.13871571832368,0.00250256702767111,0,0.279661865342247
12:104183128|104229473,6.37017602564906,1.39701191379265,8.08443396768898,0.0044647073643972,0,0.321171767115203
6:121840680|122024457,-6.39403723624618,-3.60651277538123,7.84883199560986,0.00508535513182503,0,0.321171767115203
12:104307096|104307260,-7.09110825269054,-2.84395894669561,7.63701582026803,0.00571824429147236,0,0.321171767115203
12:104183128|104202577,6.38445510096296,1.28444173932178,7.62764194427982,0.00574804057476874,0,0.321171767115203
8:93786931|93827354,9.39079636488883,0.631341573766183,6.77909562939225,0.0092231609353,0,0.436145093507272
8:93830747|93896421,9.23097042608345,-0.0284262402202515,6.55433211330894,0.0104629104599186,0,0.436145093507272
12:103698220|103863570,8.99298515310987,-0.263255981539028,6.3993951957498,0.0114159247642033,0,0.436145093507272
4:62005361|62068565,-6.19227279880637,-3.18537228826987,6.11139869716788,0.0134312796064269,0,0.436145093507272
12:103730927|103820125,6.06556157524446,-2.95125211719301,6.06363626879542,0.0137993266003703,0,0.436145093507272
6:128760627|128792281,5.58353849490084,-3.49236097338574,6.05113888410643,0.0138973303113537,0,0.436145093507272
6:128463081|128464453,5.59763391988479,-3.80235377973583,5.95979516857946,0.0146357413928615,0,0.436145093507272
4:61969509|62001964,-7.05879501610969,-1.75153553524158,5.58907366770626,0.01807285129535,0,0.50491028306384
12:103696703|103698304,-5.78363915997635,-3.84130104577937,5.30727271256332,0.0212365758820079,0,0.539432376171481
9:46153725|46153922,5.56913760520891,-3.49275402958099,5.26790746710443,0.0217221091075764,0,0.539432376171481
7:19430263|19430935,-6.65140569734192,-2.33696687299451,5.15148563791456,0.0232264929848887,0,0.546433808644487
12:104234703|104310539,-6.25125394284187,-2.4723577595413,4.88776074601969,0.0270477453822513,0,0.578254352406798
19:39990271|40085302,-6.37039292015443,-2.16449769707561,4.88021012640466,0.0271663118580375,0,0.578254352406798
