circ_id,CASE1,CASE2,CASE3,CASE4,CASE5,CONTROL1,CONTROL2,CONTROL3
10:127626685|127648818,0.011,0.006,0,0,0.06,0.057,0.023,0.013
10:127660345|127724353,0,0,0,0,0,0.003,0,0
10:127920173|127920321,0,0,0,0.001,0,0,0,0
10:22161590|22183197,0,0,0.8,0,0.5,0,0,0
10:24793811|24796599,0,0.0,0,0,0,0,0,0
10:24796550|24798581,0,0,0.0,0,0,0,0,0
10:31410659|31410892,0,0,0.016,0,0,0,0,0
10:42691111|42692465,0,0,0,0,0,0.012,0,0
10:51357663|51367814,0,0,0.048,0,0.048,0,0,0
10:76896203|76907896,0,0,0,0,0,0,0.001,0
10:76904224|76907509,0,0,0.001,0,0.003,0,0,0
10:79546100|79547387,0,0.001,0,0,0,0,0,0
10:79966114|79966294,0,0.029,0,0,0,0,0,0
10:81395371|81400551,0,0.002,0,0,0,0,0,0
10:86183965|86184116,0.014,0,0,0,0,0,0,0
10:86528250|86529288,0,0,0,0.002,0,0,0,0.002
10:89309614|89319386,0,0,0,0,0,0,0.006,0
11:108302821|108303018,0.0,0,0.0,0,0,0,0.001,0
11:116062984|116063163,0,0,0,0,0.003,0.005,0,0
11:120007713|120007847,0.026,0,0,0,0,0,0,0
11:120451516|120452083,0,0,0,0,0,0.001,0,0
11:120453521|120454117,0.002,0,0,0,0.001,0.002,0.002,0.002
11:21509834|21512987,0,0,0,0,0,0,0.002,0
11:23599270|23599484,0,0,0,0.025,0,0,0.018,0
11:4048371|4053463,0,0,0,0,0,0.0,0,0.002
11:50186819|50186976,0,0,0,0,0,0,0.006,0
11:58092294|58105996,0,0,0.011,0,0,0,0,0
11:70026747|70060205,0,0,0,0,0.632,0,0,0
11:75304733|75305816,0.003,0,0,0,0.004,0,0,0.005
11:78391255|78391411,0.002,0,0,0,0.001,0.002,0.0,0.001
11:86521339|86521490,0,0,0,0,0.444,0,0,0.194
12:103695490|103861462,0,0.0,0,0,0,0,0,0
12:103696703|103698304,0,0,0,0,0,0.001,0,0.001
12:103698220|103698406,0,0,0,0,0,0.003,0,0
12:103698220|103732229,0.127,0,0,0,0,0,0,0.06
12:103698220|103786414,0,0.004,0,0,0,0,0,0
12:103698220|103822233,0,0,0,0.04,0,0,0,0
12:103698220|103863570,0,0.063,0,0,0,0,0,0
12:103704356|103735225,0.016,0.008,0.015,0.024,0.004,0,0.018,0.007
12:103730869|103913468,0,0,0.003,0.125,0,0,0.004,0
12:103730927|103820125,0.002,0.003,0,0.006,0,0,0,0
